Direction I ,Direction J ,Num other trails ,Other trails
         19 ,         26 ,               1 ,[[19 28]]
         17 ,         19 ,               1 ,[[18 20]]
         20 ,         47 ,               1 ,[[20 49]]
         48 ,         47 ,               1 ,[[49 48]]
         19 ,         26 ,               1 ,[[19 28]]
         14 ,         48 ,               1 ,[[13 47]]
         43 ,          5 ,               1 ,[[43 7]]
         17 ,         19 ,               1 ,[[18 20]]
         42 ,         42 ,               2 ,[[42 44] [41 43]]
         19 ,         26 ,               1 ,[[19 28]]
         14 ,         20 ,               1 ,[[13 21]]
         14 ,         19 ,               1 ,[[13 20]]
         17 ,          9 ,               1 ,[[18 8]]
         17 ,         45 ,               1 ,[[18 46]]
         39 ,         44 ,               1 ,[[38 45]]
         25 ,         30 ,               1 ,[[26 29]]
         48 ,         41 ,               1 ,[[47 40]]
         19 ,         26 ,               1 ,[[19 28]]
         14 ,         19 ,               1 ,[[13 20]]
         38 ,         44 ,               1 ,[[40 44]]
         13 ,         19 ,               1 ,[[15 19]]
         17 ,         45 ,               1 ,[[18 46]]
         14 ,         20 ,               1 ,[[13 21]]
         20 ,          3 ,               1 ,[[21 2]]
         17 ,         19 ,               1 ,[[18 20]]
         25 ,         31 ,               1 ,[[26 30]]
         19 ,         26 ,               1 ,[[19 28]]
         17 ,          0 ,               1 ,[[17 2]]
         39 ,         44 ,               1 ,[[38 45]]
         17 ,         10 ,               1 ,[[18 9]]
         13 ,         19 ,               1 ,[[15 19]]
         14 ,         48 ,               1 ,[[13 47]]
         21 ,         41 ,               1 ,[[20 40]]
         19 ,         26 ,               1 ,[[19 28]]
         17 ,         19 ,               1 ,[[18 20]]
         14 ,         19 ,               1 ,[[13 20]]
         38 ,         44 ,               1 ,[[40 44]]
         18 ,         48 ,               1 ,[[19 47]]
         18 ,         48 ,               1 ,[[19 47]]
         13 ,         19 ,               1 ,[[15 19]]
         17 ,         19 ,               1 ,[[18 20]]
         18 ,         49 ,               1 ,[[19 48]]
         17 ,         19 ,               1 ,[[18 20]]
         20 ,         47 ,               1 ,[[20 49]]
         20 ,         47 ,               1 ,[[20 49]]
         18 ,         49 ,               1 ,[[19 48]]
         18 ,         50 ,               1 ,[[17 49]]
         20 ,         47 ,               1 ,[[20 49]]
         18 ,         50 ,               1 ,[[17 49]]
         20 ,         47 ,               1 ,[[20 49]]
